"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2020/08/05","430.5","433.5","426","429","3.5","0.82","47460.834"
"2020/08/04","421.5","425.5","418.5","425.5","9.5","2.28","41697.445"
"2020/08/03","420.5","424","415","416","-9.5","-2.23","77288.571"
"2020/07/31","426","432","425.5","425.5","-8.5","-1.96","50484.674"
"2020/07/30","436.5","441","428.5","434","12","2.84","69936.949"
"2020/07/29","428","431.5","419.5","422","-13","-2.99","88641.166"
"2020/07/28","464","466.5","428.5","435","10.5","2.47","172157.746"
"2020/07/27","420.5","424.5","416.5","424.5","38.5","9.97","103315.64"
"2020/07/24","390","395","382","386","4.5","1.18","90988.734"
"2020/07/23","382","383","379","381.5","-2.5","-0.65","45397.282"
"2020/07/22","381","386","379","384","1","0.26","43959.67"
"2020/07/21","372.5","387","371.5","383","17","4.64","64440.128"
"2020/07/20","370","370","362.5","366","-1","-0.27","44940.238"
"2020/07/17","361","369","360","367","9.5","2.66","66403.485"
"2020/07/16","359","361","353.5","357.5","-5.5","-1.52","68582.512"
"2020/07/15","366","370","361","363","-0.5","-0.14","75105.362"
"2020/07/14","355","364","354.5","363.5","9","2.54","63030.15"
"2020/07/13","351","354.5","350.5","354.5","6","1.72","49459.523"
"2020/07/10","352.5","353","345.5","348.5","3.5","1.01","60902.108"
"2020/07/09","346","347","343","345","4","1.17","37410.376"
"2020/07/08","337.5","342.5","337.5","341","2.5","0.74","33813.218"
"2020/07/07","343.5","346","338","338.5","0.5","0.15","59046.323"
"2020/07/06","332.5","338","332","338","8.5","2.58","57256.22"
"2020/07/03","327","330.5","326.5","329.5","7.5","2.33","55656.987"
"2020/07/02","319","322","318","322","4.5","1.42","37789.178"
"2020/07/01","315","318","314","317.5","4.5","1.44","29685.342"
"2020/06/30","313.5","314","311","313","1","0.32","49241.86"
"2020/06/29","314","315","310","312","-5.5","-1.73","56672.892"
"2020/06/24","319","320","316","317.5","2.5","0.79","55464.024"
"2020/06/23","316","316.5","312.5","315","3","0.96","41300.084"
"2020/06/22","314.5","316.5","312","312","-2.5","-0.79","37374.616"
"2020/06/19","314","314.5","312","314.5","0","0.00","48130.28"
"2020/06/18","314.5","315","313","314.5","-0.5","-0.16","35443.474"
"2020/06/17","316.5","317","313.5","315","0","0.00","34692.968"
"2020/06/16","317","317","314","315","5.5","1.78","40725.216"
"2020/06/15","316","317.5","308.5","309.5","-6.5","-2.06","51032.404"
"2020/06/12","313","317.5","312.5","316","-4.5","-1.40","46970.918"
"2020/06/11","325.5","327","318.5","320.5","-2","-0.62","50612.255"
"2020/06/10","319","324","318","322.5","3.5","1.10","42207.259"
"2020/06/09","316.5","319","314","319","1","0.31","37068.082"
"2020/06/08","316","319","315","318","6.5","2.09","52042.921"
"2020/06/05","308.5","312","308","311.5","5.5","1.80","44077.262"
"2020/06/04","305","306","304","306","5","1.66","47225.322"
"2020/06/03","300","301","298","301","4.5","1.52","67894.337"
"2020/06/02","296","297.5","296","296.5","1","0.34","26663.587"
"2020/06/01","294","296.5","293.5","295.5","3.5","1.20","37936.214"
"2020/05/29","292","292.5","290","292","-2","-0.68","96611.181"
"2020/05/28","298.5","298.5","293","294","-2.5","-0.84","32395.568"
